Vandportalen - www.vandportalen.dk
Lokalitet:;06102 Horsens/Bygholm, 
Tidsserie:;Nedbør, time (DMI)
Drives af DMI
;Dataudtræk opgjort som Dagdata, er autogenereret på baggrund af Time serie
Dataperiode:;01-01-1917 00:00 - 17-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;15-11-2024 14:51

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Nedbør, time (DMI) (mm);ks mrk.
01-06-2001;0.400;0
02-06-2001;9.400;0
03-06-2001;3.500;0
04-06-2001;1.100;0
05-06-2001;0.600;0
06-06-2001;0.200;0
07-06-2001;12.000;0
08-06-2001;0.500;0
09-06-2001;0.000;0
10-06-2001;0.500;0
11-06-2001;0.100;0
12-06-2001;1.200;0
13-06-2001;0.000;0
14-06-2001;0.000;0
15-06-2001;0.300;0
16-06-2001;2.100;0
17-06-2001;0.000;0
18-06-2001;0.000;0
19-06-2001;0.000;0
20-06-2001;0.200;0
21-06-2001;1.800;0
22-06-2001;4.900;0
23-06-2001;0.000;0
24-06-2001;0.000;0
25-06-2001;0.000;0
26-06-2001;0.000;0
27-06-2001;0.000;0
28-06-2001;4.100;0
29-06-2001;0.000;0
30-06-2001;4.100;0
01-07-2001;0.200;0
02-07-2001;0.000;0
03-07-2001;0.000;0
04-07-2001;0.000;0
05-07-2001;0.000;0
06-07-2001;0.000;0
07-07-2001;0.000;0
08-07-2001;0.000;0
09-07-2001;0.100;0
10-07-2001;4.500;0
11-07-2001;7.700;0
12-07-2001;8.500;0
13-07-2001;1.400;0
14-07-2001;0.200;0
15-07-2001;4.400;0
16-07-2001;0.000;0
17-07-2001;0.400;0
18-07-2001;0.000;0
19-07-2001;5.700;0
20-07-2001;0.000;0
21-07-2001;0.000;0
22-07-2001;0.100;0
23-07-2001;0.000;0
24-07-2001;0.100;0
25-07-2001;0.000;0
26-07-2001;0.000;0
27-07-2001;0.000;0
28-07-2001;2.000;0
29-07-2001;0.000;0
30-07-2001;0.000;0
31-07-2001;0.100;0
01-08-2001;0.000;0
02-08-2001;0.000;0
03-08-2001;2.600;0
04-08-2001;5.400;0
05-08-2001;16.000;0
06-08-2001;5.100;0
07-08-2001;2.500;0
08-08-2001;18.800;0
09-08-2001;4.100;0
10-08-2001;0.500;0
11-08-2001;0.000;0
12-08-2001;7.100;0
13-08-2001;0.900;0
14-08-2001;0.000;0
15-08-2001;0.000;0
16-08-2001;1.300;0
17-08-2001;0.100;0
18-08-2001;0.000;0
19-08-2001;2.400;0
20-08-2001;0.000;0
21-08-2001;0.100;0
22-08-2001;0.100;0
23-08-2001;0.000;0
24-08-2001;0.000;0
25-08-2001;0.100;0
26-08-2001;15.700;0
27-08-2001;6.300;0
28-08-2001;0.100;0
29-08-2001;0.000;0
30-08-2001;0.000;0
31-08-2001;1.600;0
01-09-2001;0.700;0
02-09-2001;1.500;0
03-09-2001;2.700;0
04-09-2001;1.200;0
05-09-2001;0.000;0
06-09-2001;0.200;0
07-09-2001;4.500;0
08-09-2001;5.100;0
09-09-2001;3.500;0
10-09-2001;2.100;0
11-09-2001;0.700;0
12-09-2001;0.000;0
13-09-2001;11.800;0
14-09-2001;0.000;0
15-09-2001;8.500;0
16-09-2001;1.500;0
17-09-2001;12.900;0
18-09-2001;22.300;0
19-09-2001;1.400;0
20-09-2001;0.000;0
21-09-2001;19.900;0
22-09-2001;14.300;0
23-09-2001;2.600;0
