Vandportalen - www.vandportalen.dk
Lokalitet:;05225 Hesselballe, DMI Pluvio
Tidsserie:;Nedbør, time (DMI)
Drives af DMI
;Dataudtræk opgjort som Dagdata, er autogenereret på baggrund af Time serie
Dataperiode:;01-01-1917 00:00 - 17-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;15-11-2024 14:51

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Nedbør, time (DMI) (mm);ks mrk.
04-01-2010;0.200;0
05-01-2010;0.500;0
06-01-2010;0.200;0
07-01-2010;0.100;0
08-01-2010;0.000;0
09-01-2010;0.000;0
10-01-2010;0.000;0
11-01-2010;0.000;0
12-01-2010;0.700;0
13-01-2010;0.800;0
14-01-2010;0.000;0
15-01-2010;0.000;0
16-01-2010;0.300;0
17-01-2010;0.600;0
18-01-2010;2.500;0
19-01-2010;0.000;0
20-01-2010;1.500;0
21-01-2010;0.200;0
22-01-2010;0.000;0
23-01-2010;0.000;0
24-01-2010;0.000;0
25-01-2010;0.000;0
26-01-2010;0.000;0
27-01-2010;4.200;0
28-01-2010;0.000;0
29-01-2010;0.000;0
30-01-2010;1.100;0
31-01-2010;2.600;0
01-02-2010;0.000;0
02-02-2010;6.700;0
03-02-2010;0.000;0
04-02-2010;0.600;0
05-02-2010;0.100;0
06-02-2010;0.000;0
07-02-2010;0.000;0
08-02-2010;0.000;0
09-02-2010;0.000;0
10-02-2010;0.000;0
11-02-2010;0.000;0
12-02-2010;0.100;0
13-02-2010;0.900;0
14-02-2010;0.600;0
15-02-2010;0.600;0
16-02-2010;0.100;0
17-02-2010;0.000;0
18-02-2010;2.700;0
19-02-2010;5.400;0
20-02-2010;3.000;0
21-02-2010;0.000;0
22-02-2010;4.200;0
23-02-2010;0.000;0
24-02-2010;0.500;0
25-02-2010;4.100;0
26-02-2010;2.400;0
27-02-2010;0.900;0
28-02-2010;3.700;0
01-03-2010;2.100;0
02-03-2010;2.000;0
03-03-2010;0.000;0
04-03-2010;0.600;0
05-03-2010;5.000;0
06-03-2010;0.000;0
07-03-2010;0.300;0
08-03-2010;0.000;0
09-03-2010;0.000;0
10-03-2010;0.000;0
11-03-2010;0.000;0
12-03-2010;0.000;0
13-03-2010;0.100;0
14-03-2010;3.300;0
15-03-2010;0.000;0
16-03-2010;0.000;0
17-03-2010;0.000;0
18-03-2010;0.000;0
19-03-2010;2.200;0
20-03-2010;6.100;0
21-03-2010;4.200;0
22-03-2010;0.000;0
23-03-2010;0.700;0
24-03-2010;0.000;0
25-03-2010;0.400;0
26-03-2010;6.600;0
27-03-2010;3.600;0
28-03-2010;0.300;0
29-03-2010;0.400;0
30-03-2010;0.300;0
31-03-2010;5.500;0
01-04-2010;2.300;0
02-04-2010;2.500;0
03-04-2010;0.000;0
04-04-2010;5.700;0
05-04-2010;0.000;0
06-04-2010;0.600;0
07-04-2010;0.000;0
08-04-2010;0.000;0
09-04-2010;0.000;0
10-04-2010;0.000;0
11-04-2010;0.000;0
12-04-2010;0.000;0
13-04-2010;0.000;0
14-04-2010;0.000;0
15-04-2010;0.000;0
16-04-2010;0.000;0
17-04-2010;0.000;0
18-04-2010;0.000;0
19-04-2010;0.100;0
20-04-2010;6.200;0
21-04-2010;2.600;0
22-04-2010;0.900;0
23-04-2010;2.300;0
24-04-2010;0.000;0
25-04-2010;0.000;0
26-04-2010;3.000;0
27-04-2010;0.000;0
28-04-2010;0.000;0
29-04-2010;0.000;0
30-04-2010;8.800;0
01-05-2010;4.100;0
02-05-2010;0.000;0
03-05-2010;0.000;0
04-05-2010;0.000;0
05-05-2010;0.000;0
06-05-2010;0.000;0
07-05-2010;6.500;0
08-05-2010;2.700;0
09-05-2010;0.300;0
10-05-2010;0.000;0
11-05-2010;0.000;0
12-05-2010;9.800;0
13-05-2010;0.000;0
14-05-2010;0.000;0
15-05-2010;20.500;0
16-05-2010;4.900;0
17-05-2010;0.000;0
18-05-2010;0.000;0
19-05-2010;0.100;0
20-05-2010;0.000;0
21-05-2010;0.000;0
22-05-2010;0.000;0
23-05-2010;0.000;0
24-05-2010;2.700;0
25-05-2010;0.000;0
26-05-2010;0.000;0
27-05-2010;0.000;0
28-05-2010;3.500;0
29-05-2010;0.200;0
30-05-2010;14.400;0
31-05-2010;1.500;0
01-06-2010;0.000;0
02-06-2010;0.000;0
03-06-2010;0.000;0
04-06-2010;0.000;0
05-06-2010;0.000;0
06-06-2010;0.000;0
07-06-2010;13.100;0
08-06-2010;0.000;0
09-06-2010;9.600;0
10-06-2010;15.900;0
11-06-2010;15.900;0
12-06-2010;1.700;0
13-06-2010;0.000;0
14-06-2010;0.000;0
15-06-2010;0.200;0
16-06-2010;0.000;0
17-06-2010;0.000;0
18-06-2010;0.000;0
19-06-2010;9.800;0
20-06-2010;5.900;0
21-06-2010;0.000;0
22-06-2010;0.000;0
23-06-2010;0.000;0
24-06-2010;0.000;0
25-06-2010;0.000;0
26-06-2010;0.000;0
27-06-2010;0.000;0
28-06-2010;0.000;0
29-06-2010;0.000;0
30-06-2010;0.000;0
01-07-2010;0.000;0
02-07-2010;0.000;0
03-07-2010;0.000;0
04-07-2010;0.000;0
05-07-2010;0.000;0
06-07-2010;0.000;0
07-07-2010;0.000;0
08-07-2010;0.000;0
09-07-2010;0.000;0
10-07-2010;0.000;0
11-07-2010;0.000;0
12-07-2010;0.000;0
13-07-2010;0.000;0
14-07-2010;0.000;0
15-07-2010;0.000;0
16-07-2010;0.000;0
17-07-2010;0.000;0
18-07-2010;0.000;0
19-07-2010;0.000;0
20-07-2010;0.000;0
21-07-2010;0.000;0
22-07-2010;0.000;0
23-07-2010;0.000;0
24-07-2010;0.000;0
25-07-2010;0.000;0
26-07-2010;0.000;0
27-07-2010;0.000;0
28-07-2010;0.000;0
29-07-2010;0.000;0
30-07-2010;9.100;0
31-07-2010;1.900;0
01-08-2010;5.800;0
02-08-2010;1.900;0
03-08-2010;0.000;0
04-08-2010;4.600;0
05-08-2010;1.100;0
06-08-2010;0.000;0
07-08-2010;0.000;0
08-08-2010;0.400;0
09-08-2010;0.000;0
10-08-2010;0.700;0
11-08-2010;11.100;0
12-08-2010;1.000;0
13-08-2010;3.400;0
14-08-2010;1.900;0
15-08-2010;0.000;0
16-08-2010;0.300;0
17-08-2010;41.600;0
18-08-2010;43.000;0
19-08-2010;0.000;0
20-08-2010;3.000;0
21-08-2010;2.200;0
22-08-2010;16.900;0
23-08-2010;14.000;0
24-08-2010;2.300;0
25-08-2010;1.400;0
26-08-2010;0.000;0
27-08-2010;0.000;0
28-08-2010;0.600;0
29-08-2010;1.400;0
30-08-2010;1.300;0
31-08-2010;0.100;0
01-09-2010;0.000;0
02-09-2010;0.000;0
03-09-2010;0.700;0
04-09-2010;0.000;0
05-09-2010;0.000;0
06-09-2010;0.000;0
07-09-2010;0.000;0
08-09-2010;0.000;0
09-09-2010;2.100;0
10-09-2010;8.400;0
11-09-2010;1.000;0
12-09-2010;13.700;0
13-09-2010;0.100;0
14-09-2010;9.700;0
15-09-2010;9.300;0
16-09-2010;2.400;0
17-09-2010;13.800;0
18-09-2010;0.500;0
19-09-2010;1.400;0
20-09-2010;6.900;0
21-09-2010;0.100;0
22-09-2010;0.000;0
23-09-2010;0.000;0
24-09-2010;0.100;0
25-09-2010;0.000;0
26-09-2010;2.900;0
27-09-2010;0.000;0
28-09-2010;0.000;0
29-09-2010;0.000;0
30-09-2010;0.000;0
01-10-2010;0.000;0
02-10-2010;0.500;0
03-10-2010;0.700;0
04-10-2010;0.000;0
05-10-2010;0.000;0
06-10-2010;7.500;0
07-10-2010;2.000;0
08-10-2010;0.000;0
09-10-2010;0.000;0
10-10-2010;0.000;0
11-10-2010;0.000;0
12-10-2010;0.000;0
13-10-2010;0.000;0
14-10-2010;0.000;0
15-10-2010;1.500;0
16-10-2010;0.500;0
17-10-2010;0.000;0
18-10-2010;2.900;0
19-10-2010;9.600;0
20-10-2010;0.700;0
21-10-2010;8.800;0
22-10-2010;5.700;0
23-10-2010;11.000;0
24-10-2010;22.300;0
25-10-2010;5.200;0
26-10-2010;0.000;0
27-10-2010;4.400;0
28-10-2010;4.800;0
29-10-2010;0.400;0
30-10-2010;0.100;0
31-10-2010;0.000;0
01-11-2010;0.000;0
02-11-2010;2.300;0
03-11-2010;8.900;0
04-11-2010;3.600;0
05-11-2010;14.400;0
06-11-2010;2.600;0
07-11-2010;0.000;0
08-11-2010;0.100;0
09-11-2010;3.700;0
10-11-2010;0.000;0
11-11-2010;6.400;0
12-11-2010;13.700;0
13-11-2010;2.600;0
14-11-2010;2.700;0
15-11-2010;4.900;0
16-11-2010;0.000;0
17-11-2010;0.000;0
18-11-2010;0.600;0
19-11-2010;10.900;0
20-11-2010;2.400;0
21-11-2010;0.500;0
22-11-2010;0.200;0
23-11-2010;5.100;0
24-11-2010;0.000;0
25-11-2010;0.200;0
26-11-2010;0.800;0
27-11-2010;8.000;0
28-11-2010;0.600;0
29-11-2010;4.300;0
30-11-2010;3.500;0
01-12-2010;0.000;0
02-12-2010;1.800;0
03-12-2010;0.000;0
04-12-2010;1.100;0
05-12-2010;2.700;0
06-12-2010;0.000;0
07-12-2010;2.100;0
08-12-2010;0.000;0
09-12-2010;0.400;0
10-12-2010;3.600;0
11-12-2010;5.100;0
12-12-2010;0.100;0
13-12-2010;2.900;0
14-12-2010;0.000;0
15-12-2010;0.000;0
16-12-2010;7.500;0
17-12-2010;0.000;0
18-12-2010;0.500;0
19-12-2010;0.200;0
20-12-2010;2.400;0
21-12-2010;0.700;0
22-12-2010;0.500;0
23-12-2010;5.200;0
24-12-2010;0.000;0
25-12-2010;0.000;0
26-12-2010;1.500;0
27-12-2010;0.000;0
28-12-2010;0.200;0
29-12-2010;1.500;0
30-12-2010;1.800;0
31-12-2010;1.900;0
01-01-2011;0.300;0
02-01-2011;0.000;0
03-01-2011;0.000;0
04-01-2011;1.500;0
05-01-2011;0.300;0
06-01-2011;3.000;0
07-01-2011;1.600;0
08-01-2011;6.700;0
09-01-2011;0.300;0
10-01-2011;0.100;0
11-01-2011;2.200;0
12-01-2011;0.200;0
13-01-2011;7.900;0
14-01-2011;3.900;0
15-01-2011;11.100;0
16-01-2011;0.400;0
17-01-2011;1.000;0
18-01-2011;1.500;0
19-01-2011;0.000;0
20-01-2011;0.100;0
21-01-2011;0.100;0
22-01-2011;0.500;0
23-01-2011;0.200;0
24-01-2011;0.200;0
25-01-2011;1.500;0
26-01-2011;0.000;0
27-01-2011;0.000;0
28-01-2011;0.000;0
29-01-2011;0.100;0
30-01-2011;0.000;0
31-01-2011;0.200;0
01-02-2011;1.300;0
02-02-2011;1.900;0
03-02-2011;3.200;0
04-02-2011;15.900;0
05-02-2011;3.800;0
06-02-2011;8.700;0
07-02-2011;0.200;0
08-02-2011;0.500;0
09-02-2011;0.000;0
10-02-2011;3.300;0
11-02-2011;0.000;0
12-02-2011;0.000;0
13-02-2011;1.800;0
14-02-2011;0.000;0
15-02-2011;1.600;0
16-02-2011;0.200;0
17-02-2011;0.000;0
18-02-2011;0.000;0
19-02-2011;0.000;0
20-02-2011;0.000;0
21-02-2011;0.000;0
22-02-2011;0.000;0
23-02-2011;0.000;0
24-02-2011;0.000;0
25-02-2011;0.000;0
26-02-2011;0.000;0
27-02-2011;0.000;0
28-02-2011;0.000;0
01-03-2011;0.000;0
02-03-2011;0.000;0
03-03-2011;0.000;0
04-03-2011;0.000;0
05-03-2011;0.300;0
06-03-2011;0.000;0
07-03-2011;0.000;0
08-03-2011;0.000;0
09-03-2011;5.800;0
10-03-2011;10.200;0
11-03-2011;0.100;0
12-03-2011;0.800;0
13-03-2011;0.100;0
14-03-2011;1.300;0
15-03-2011;0.000;0
16-03-2011;0.000;0
17-03-2011;0.000;0
18-03-2011;0.000;0
19-03-2011;0.000;0
20-03-2011;0.000;0
21-03-2011;0.000;0
22-03-2011;0.000;0
23-03-2011;0.000;0
24-03-2011;0.000;0
25-03-2011;0.000;0
26-03-2011;0.000;0
27-03-2011;0.000;0
28-03-2011;0.700;0
29-03-2011;0.100;0
30-03-2011;3.400;0
31-03-2011;11.300;0
01-04-2011;3.800;0
02-04-2011;0.000;0
03-04-2011;1.100;0
04-04-2011;0.300;0
05-04-2011;5.700;0
06-04-2011;0.600;0
07-04-2011;0.000;0
08-04-2011;0.000;0
09-04-2011;0.000;0
10-04-2011;0.000;0
11-04-2011;0.000;0
12-04-2011;5.600;0
13-04-2011;0.000;0
14-04-2011;0.000;0
15-04-2011;0.000;0
16-04-2011;0.100;0
17-04-2011;0.000;0
18-04-2011;0.100;0
19-04-2011;0.000;0
20-04-2011;0.000;0
21-04-2011;0.000;0
22-04-2011;0.000;0
23-04-2011;0.000;0
24-04-2011;0.000;0
25-04-2011;0.000;0
26-04-2011;0.000;0
27-04-2011;0.000;0
28-04-2011;0.000;0
29-04-2011;0.000;0
30-04-2011;0.000;0
01-05-2011;0.000;0
02-05-2011;0.000;0
03-05-2011;4.400;0
04-05-2011;0.000;0
05-05-2011;0.000;0
